id,title,artist,year,genre,style,sample
39,Gin and Juice,Snoop Dogg feat. Daz Dillinger,1993,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
40,Lord Knows,Drake feat. Rick Ross,2011,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
41,No Stylist,French Montana feat. Drake,2018,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
42,Stepson of the Clapper,J Dilla,2006,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
43,She Needs Me,Kendrick Lamar feat. Javonte,2009,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
44,Eric B. Is President (Original Mix),Eric B. feat. Rakim,1986,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
45,Chain Smoker,Chance the Rapper,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
46,No Makeup (Her Vice),Kendrick Lamar feat. Colin Munroe,2011,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
47,Vossi Bop,Stormzy,2019,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
48,A Fan's Mail (Tron Song Suite II),Thundercat,2017,Soul / Funk / Disco,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
49,It's My Thing,EPMD,1987,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
50,"This Ain't a Scene, It's an Arms Race (Kanye West Remix)",Fall Out Boy feat. Kanye West,2007,Rock / Pop,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
51,Keisha's Song (Her Pain),Kendrick Lamar feat. Ashtrobot,2011,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
52,Shut Em Down (Pe-te Rock Mixx),Public Enemy,1991,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
53,Who I Am,Pusha T feat. 2 Chainz and Big Sean,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
54,Real Niggaz Don't Die,N.W.A,1991,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
55,I Do It for Hip Hop,Ludacris feat. Nas and Jay-Z,2008,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
56,Kill Yourself,Pink Guy,2014,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
57,Coffee,BTS,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
58,Remember This,NF,2017,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
59,Bad Guy,Eminem,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
60,Face-Off (L.S. Darko),Flatbush Zombies,2012,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
61,Final Form,Sampa the Great,2019,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
62,Jazz (We've Got) (Re-Recording),A Tribe Called Quest,1991,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
63,Good Life,Pete Rock & C.L. Smooth,1991,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
64,A Pimp Named Slickback,LAKIM,2014,Electronic / Dance,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
65,Who You're Around,Meek Mill feat. Mary J. Blige,2012,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
66,Slow Down,Skip Marley feat. H.E.R.,2019,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
67,Only You Can Tell It,Pusha T feat. Wale,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
68,Louder Than a Bomb,Public Enemy,1988,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
69,Child's Play,Ghostface Killah,2000,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
70,Louder,Big Noyd and Prodigy,2004,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
71,LB,Damu the Fudgemunk,2008,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
72,Whoa Whoa Whoa,Watsky and Mikos,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
73,Big Drip,Fivio Foreign,2019,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
74,Jerome,Lizzo,2019,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
75,On the Regular,Meek Mill,2016,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
76,We Are,Justin Bieber feat. Nas,2015,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
77,Revelations,Mos Def,2009,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
78,Return of the Mecca,Pete Rock & C.L. Smooth,1992,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
79,Human,Rag'n'Bone Man,2016,Rock / Pop,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
80,L.A. To Detroit,Jaylib,2003,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
81,For the Summer,Fabolous,2015,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
82,Ugly People Be Quiet,Cash Money & Marvelous,1988,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
83,Purple Kisses,A$AP Rocky,2012,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
84,New York (Ya Out There?),Rakim,1997,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
85,One by One,Laza Morgan feat. Mavado,2011,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
86,Endangered Species (Tales From the Darkside),Ice Cube feat. Chuck D,1990,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
87,Growin' Up in the Hood,Compton's Most Wanted,1991,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
88,Overload,Sugababes,2000,Rock / Pop,Drums,https://www.whosampled.com/Mountain/Long-Red/
89,Heart Attack (츄),Loona (K-Pop Group),2017,Other,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
90,Put Your Hands Together,Eric B. & Rakim,1988,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
91,Take You There,Pete Rock & C.L. Smooth,1994,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
92,Verbal Clap,De La Soul,2004,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
93,Go Go Gadget,Disiz La Peste feat. Orelsan,2012,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
94,Trust,Fivio Foreign,2020,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
95,Yeah,DJ Krush,1994,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
96,All Night,Xperadó,1997,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
97,Strictly 4 My Jeeps,Action Bronson,2013,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
98,Show Me the Way,Dilated Peoples feat. Aloe Blacc,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
99,Wussup Wit the Luv,Digital Underground feat. 2Pac,1993,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
100,Trigger Hippie,Morcheeba,1995,Rock / Pop,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
101,Words From the Nutcracker,Gang Starr feat. Melachi the Nutcracker,1994,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
102,Drainos,Madvillain,2008,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
103,It's Going Down,EPMD,1992,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
104,Stress,Organized Konfusion,1994,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
105,X (Y'all Know the Name),"X-Ecutioners and Pharoahe Monch feat. Xzibit, Inspectah Deck and Skillz",2002,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
106,Dolly My Baby (Hip Hop Mix),Super Cat feat. Mary J. Blige,1993,Reggae / Dub,Drums,https://www.whosampled.com/Mountain/Long-Red/
107,Young Niggas,Tory Lanez,2020,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
108,Le Jour Où Tu Partiras,Oxmo Puccino feat. K-reen,1998,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
109,Respect the Architect (Remix),Guru feat. Bahamadia and Ramsey Lewis,1995,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
110,Take Ü There (Vindata Remix),Jack Ü feat. Kiesza,2014,Electronic / Dance,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
111,Dolly My Baby (Bad Boy Extended Mix),"Super Cat and Mary J. Blige feat. The Notorious B.I.G., Puff Daddy and 3rd Eye",1993,Reggae / Dub,Drums,https://www.whosampled.com/Mountain/Long-Red/
112,Know No Better,Meek Mill feat. Yo Gotti,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
113,Lifestyles of the Rich & Shameless,Lost Boyz,1995,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
114,I'm Better,Missy Elliott feat. Cainon Lamb,2017,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
115,The Ultimate,Artifacts,1997,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
116,Ruffneck,Freestylers feat. Navigator,1998,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
117,My Melody (Original Mix),Eric B. feat. Rakim,1986,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
118,Glamour and Glitz,A Tribe Called Quest,1995,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
119,Witch Doctor,Hopsin,2017,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
120,Stop Cryin',50 Cent,2011,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
121,Walking in My Shoes (Grungy Gonads Mix),Depeche Mode,1993,Electronic / Dance,Drums,https://www.whosampled.com/Mountain/Long-Red/
122,Money ($ / * ...),Mariah Carey feat. Fabolous,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
123,Get Funky (Remix),The Beatnuts,1994,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
124,Playtime,Khalil feat. Justin Bieber,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
125,Save Me Dear,Ghostface Killah,2004,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
126,Peso,Machine Gun Kelly feat. Pusha T and Meek Mill,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
127,Black Swan,"Statik Selektah feat. Nitty Scott, MC and Rapsody",2011,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
128,A Better Day,Ill Biskits,1996,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
129,Ghettos of the Mind,Pete Rock & C.L. Smooth,1992,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
130,True to Rap (Remix),Da' Enna C.,1994,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
131,Rock You Again (Again & Again),Whodini,1987,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
132,Sexual Healing (Oops Pt. 2),Tweet feat. Ms. Jade,2002,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
133,Beat the Case / / / Straight Crooked,Ab-Soul feat. ScHoolboy Q,2016,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
134,I Wonder Why,Rick Ross,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
135,Combat Jazz,Limp Bizkit feat. Raekwon,2011,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
136,Stand by Your Man (Hip Hop Mix 2),LL Cool J,1993,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
137,Mixed Messages,Big K.R.I.T.,2017,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
138,When All Light Dies,Jedi Mind Tricks,2006,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
139,True,Freeway feat. Wale,2012,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
140,Get Back,Disco Twins and Starchild,1986,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
141,Punkmotherfukaz,Onyx,1995,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
142,Bird's Eye View,Xzibit feat. Tash and J-Ro,1996,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
143,I'm a African,Dead Prez,2000,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
144,Believe Me,Rapsody,2012,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
145,Sick Thoughts,Grav,1996,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
146,Lenguaje Roto,Dano feat. Elio Toffana,2019,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
147,BaDINGA!,TWRK,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
148,What's Next on the Menu,Pete Rock & C.L. Smooth,1993,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
149,Fear of a Black Planet,Public Enemy,1990,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
150,The Medicine,Planet Asia,2006,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
151,Make Money,French Montana and Chinx Drugz,2012,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
152,A Madman's Dream,The East Flatbush Project,1994,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
153,Feel the High Pt. II,Finsta Bundy,1997,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
154,Heute Nacht,Torch feat. Boulevard Bou,2000,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
155,Nature Calling,四街道ネイチャー,1998,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
156,Triple R,Nuff Ruffness,1993,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
157,Sober Thoughts (Lido's Forgotten Sunday Service),GoldLink,2016,Electronic / Dance,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
158,The Birth,Ice Cube feat. Khalid Muhammad,1991,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
159,Home T.E.A.M.,"Troy Ave feat. Action Bronson, Maffew Ragazino and Mr. Muthafuckin' eXquire",2012,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
160,100 Keep It,"V. Don feat. Smoke DZA, Bodega Bamz and Willie the Kid",2013,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
161,The Day It All Changed,G-EAZY,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
162,Waaaaaa,DJ Premier,2008,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
163,Right Now,"Meek Mill feat. French Montana, Mase and Cory Gunz",2013,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
164,Carry the Tradition,Skyzoo and Pete Rock feat. Styles P,2019,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
165,Lot to Learn,Luke Christopher,2015,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
166,Drug Dealer,Boogie Down Productions,1992,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
167,D.I.R.T. (Another Boot Camp Clik Yeah Song),Heltah Skeltah,2008,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
168,The Specialist,Ali Vegas,1999,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
169,Get Down,Monica,1995,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
170,Doctorin' the House,Coldcut feat. Yazz and The Plastic Population,1988,Rock / Pop,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
171,Here We Go Again,J Dilla,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
172,? Vs. Rahzel,The Roots,1995,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
173,Monster,KB feat. Aha Gazelle,2017,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
174,Fingertips,J Dilla,1996,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
175,Cadillac,Marteria,2017,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
176,"Justa ""Lil"" Dope",Masters at Work,1991,Electronic / Dance,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
177,Don't Understand,Kendrick Lamar,2011,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
178,CAT GIRLS ARE RUINING MY LIFE!,CORPSE,2020,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
179,This Is Compton,Compton's Most Wanted,1990,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
180,"The Heist, Pt. 1",The Lox,1998,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
181,You & I,Riky Rick feat. Mlindo the Vocalist,2019,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
182,Episode XIX,Madlib,2010,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
183,What Up King,Yaves feat. Young Joshua,2013,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
184,Get Right,B.o.B feat. Mike Fresh,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
185,I Got 5 on It (Aphrodite's Original Dub Plate),Luniz,1998,Electronic / Dance,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
186,Dana Dane Is Coming to Town,Dana Dane,1987,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
187,A Day in Your Life,Charizma and Peanut Butter Wolf,2009,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
188,Walk Like a Duck,Kurious,1992,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
