id,title,artist,year,genre,style,sample
0,Intro: 2 Cool 4 Skool,BTS,2013,Rock / Pop,Source,https://www.whosampled.com/BTS/Intro%3A-2-Cool-4-Skool/
1,Best of Me (Japanese Version),BTS,2018,Rock / Pop,Source,https://www.whosampled.com/BTS/Best-of-Me-(Japanese-Version)/
2,Outro: Luv in Skool,BTS,2013,Rock / Pop,Source,https://www.whosampled.com/BTS/Outro%3A-Luv-in-Skool/
3,커피를 마시고,Urban Zakapa,2009,Rock / Pop,Source,https://www.whosampled.com/Urban-Zakapa/%EC%BB%A4%ED%94%BC%EB%A5%BC-%EB%A7%88%EC%8B%9C%EA%B3%A0/
4,Am I Wrong,Keb' Mo',1994,Jazz / Blues,Source,https://www.whosampled.com/Keb%27-Mo%27/Am-I-Wrong/
5,Long Red,Mountain,1972,Rock / Pop,Source,https://www.whosampled.com/Mountain/Long-Red/
6,"Get Out of My Life, Woman",The Mad Lads,1966,Soul / Funk / Disco,Source,"https://www.whosampled.com/The-Mad-Lads/Get-Out-of-My-Life,-Woman/"
7,Strangers,SFB (2),2015,Hip-Hop / Rap / R&B,Source,https://www.whosampled.com/SFB-(2)/Strangers/
8,El Chapo,The Game,2015,Hip-Hop / Rap / R&B,Source,https://www.whosampled.com/The-Game/El-Chapo/
9,Save ME,BTS,2016,Rock / Pop,Source,https://www.whosampled.com/BTS/Save-ME/
10,Super Mario Bros. Sound Effects,Koji Kondo,1985,Other,Source,https://www.whosampled.com/Koji-Kondo/Super-Mario-Bros.-Sound-Effects/
11,LOVE YOURSELF Highlight Reel '轉',Myungsoo Shin,2017,Other,Source,https://www.whosampled.com/Myungsoo-Shin/LOVE-YOURSELF-Highlight-Reel-%27%E8%BD%89%27/
12,Intro: Skool Luv Affair,BTS,2014,Hip-Hop / Rap / R&B,Source,https://www.whosampled.com/BTS/Intro%3A-Skool-Luv-Affair/
13,Airplane,j-hope,2018,Hip-Hop / Rap / R&B,Source,https://www.whosampled.com/j-hope/Airplane/
14,La Vida Breve,Manuel De Falla,1913,Other,Source,https://www.whosampled.com/Manuel-De-Falla/La-Vida-Breve/
15,Touch Steps / Two Beat Turn / Freestyle Routine,K-Tel,1978,Spoken Word,Source,https://www.whosampled.com/K-Tel/Touch-Steps-Two-Beat-Turn-Freestyle-Routine/
16,Born Sinner,J. Cole,2013,Hip-Hop / Rap / R&B,Source,https://www.whosampled.com/J.-Cole/Born-Sinner/
17,Crazy German Kid,YouTube,2006,Spoken Word,Source,https://www.whosampled.com/YouTube/Crazy-German-Kid/
18,T.O.P. Twinkling of Paradise,Shinhwa,1999,Hip-Hop / Rap / R&B,Source,https://www.whosampled.com/Shinhwa/T.O.P.-Twinkling-of-Paradise/
19,This Love,Shinhwa,2013,Electronic / Dance,Source,https://www.whosampled.com/Shinhwa/This-Love/
20,"Intro: O!RUL8,2?",BTS,2013,Rock / Pop,Source,"https://www.whosampled.com/BTS/Intro%3A-O!RUL8,2%3F/"
21,Here We Go (Live at the Funhouse),Run-DMC,1985,Hip-Hop / Rap / R&B,Source,https://www.whosampled.com/Run-DMC/Here-We-Go-(Live-at-the-Funhouse)/
22,왜 불러,송창식 (Song Chang Sik),1975,Country / Folk,Source,https://www.whosampled.com/%EC%86%A1%EC%B0%BD%EC%8B%9D-(Song-Chang-Sik)/%EC%99%9C-%EB%B6%88%EB%9F%AC/
23,Outro: Ego,BTS,2020,Rock / Pop,Multiple Elements,https://www.whosampled.com/BTS/Intro%3A-2-Cool-4-Skool/
24,Intro: Ringwanderung,BTS,2018,Rock / Pop,Vocals / Lyrics,https://www.whosampled.com/BTS/Best-of-Me-(Japanese-Version)/
25,Intro: Skool Luv Affair,BTS,2014,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/BTS/Outro%3A-Luv-in-Skool/
26,Coffee,BTS,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Urban-Zakapa/%EC%BB%A4%ED%94%BC%EB%A5%BC-%EB%A7%88%EC%8B%9C%EA%B3%A0/
27,Am I Wrong,BTS,2016,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Keb%27-Mo%27/Am-I-Wrong/
28,Ghetto Symphony,A$AP Rocky feat. Gunplay and A$AP Ferg,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
29,Born to Die,Lana Del Rey,2011,Rock / Pop,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
30,99 Problems,Jay-Z,2003,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
31,Barry Bonds,Kanye West feat. Lil Wayne,2007,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
32,Wouldn't Get Far,The Game feat. Kanye West,2006,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
33,It Ain't Hard to Tell,Nas,1994,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
34,Love Yourz,J. Cole,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
35,The People,Common feat. Dwele,2007,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
36,Fire Squad,J. Cole,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
37,Terry,Action Bronson,2015,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
38,The Glory,Kanye West,2007,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
