id,title,artist,year,genre,style,sample
16,Gin and Juice,Snoop Dogg feat. Daz Dillinger,1993,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
17,Lord Knows,Drake feat. Rick Ross,2011,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
18,No Stylist,French Montana feat. Drake,2018,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
19,Stepson of the Clapper,J Dilla,2006,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
20,She Needs Me,Kendrick Lamar feat. Javonte,2009,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
21,Eric B. Is President (Original Mix),Eric B. feat. Rakim,1986,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
22,Chain Smoker,Chance the Rapper,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
23,No Makeup (Her Vice),Kendrick Lamar feat. Colin Munroe,2011,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
24,Vossi Bop,Stormzy,2019,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
25,A Fan's Mail (Tron Song Suite II),Thundercat,2017,Soul / Funk / Disco,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
26,It's My Thing,EPMD,1987,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
27,"This Ain't a Scene, It's an Arms Race (Kanye West Remix)",Fall Out Boy feat. Kanye West,2007,Rock / Pop,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
28,Keisha's Song (Her Pain),Kendrick Lamar feat. Ashtrobot,2011,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
29,Shut Em Down (Pe-te Rock Mixx),Public Enemy,1991,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
30,Who I Am,Pusha T feat. 2 Chainz and Big Sean,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
31,Real Niggaz Don't Die,N.W.A,1991,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
32,I Do It for Hip Hop,Ludacris feat. Nas and Jay-Z,2008,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
33,Kill Yourself,Pink Guy,2014,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
34,Coffee,BTS,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
35,Remember This,NF,2017,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
36,Bad Guy,Eminem,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
