,title,artist,year,sample,genre,style
42,Who You're Around,Meek Mill feat. Mary J. Blige,2012,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
43,Slow Down,Skip Marley feat. H.E.R.,2019,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
44,Only You Can Tell It,Pusha T feat. Wale,2013,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
45,Louder Than a Bomb,Public Enemy,1988,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
46,Child's Play,Ghostface Killah,2000,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
47,Louder,Big Noyd and Prodigy,2004,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
48,LB,Damu the Fudgemunk,2008,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
49,Whoa Whoa Whoa,Watsky and Mikos,2014,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
50,Big Drip,Fivio Foreign,2019,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
51,Jerome,Lizzo,2019,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
52,On the Regular,Meek Mill,2016,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
53,We Are,Justin Bieber feat. Nas,2015,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
54,Revelations,Mos Def,2009,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
55,Return of the Mecca,Pete Rock & C.L. Smooth,1992,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
56,Human,Rag'n'Bone Man,2016,https://www.whosampled.com/Mountain/Long-Red/,Rock / Pop,Vocals / Lyrics
57,L.A. To Detroit,Jaylib,2003,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
